Year,Month,meanT_F
1976,Jun,71.93
1977,Jun,75.53
1978,Jun,74.63
1979,Jun,75.63
1980,Jun,67.3
1981,Jun,70.77
1982,Jun,73.87
1983,Jun,69.57
1984,Jun,69.9
1985,Jun,75.97
1986,Jun,75.43
1987,Jun,77.97
1988,Jun,71.87
1989,Jun,74.47
1990,Jun,71.7
1991,Jun,67.13
1992,Jun,77.9
1993,Jun,70.6
1994,Jun,72.33
1995,Jun,72.47
1996,Jun,72.1
1997,Jun,70.43
1998,Jun,71
1999,Jun,69.8
2000,Jun,76.13
2001,Jun,70.87
2002,Jun,74.13
2003,Jun,76.73
2004,Jun,75
2005,Jun,70.33
2006,Jun,74.63
2007,Jun,72.7
2008,Jun,71.93
2009,Jun,73.79
2010,Jun,69.91
2011,Jun,70.21
2012,Jun,70.63
2013,Jun,77
2014,Jun,74.87
2015,Jun,83.63
2016,Jun,78.3
2017,Jun,74.27
2018,Jun,75.5
2019,Jun,78.63
2020,Jun,74.23
2021,Jun,82.37
2022,Jun,74.63
2023,Jun,80.5
2024,Jun,77.73
2025,Jun,78.93
1948,Jul,79.45
1949,Jul,80.52
1950,Jul,83.94
1951,Jul,82.48
1952,Jul,83.81
1953,Jul,80.23
1954,Jul,75.81
1955,Jul,73.84
1956,Jul,81.39
1957,Jul,78.77
1958,Jul,86.9
1959,Jul,84.23
1960,Jul,85
1961,Jul,82.45
1962,Jul,81.06
1963,Jul,74.97
1964,Jul,80.19
1965,Jul,82.77
1966,Jul,80.16
1967,Jul,84.03
1968,Jul,82.68
1969,Jul,78.97
1970,Jul,85.52
1971,Jul,80.65
1972,Jul,83.94
1973,Jul,83.52
1974,Jul,80.26
1975,Jul,82.03
1976,Jul,82.81
1977,Jul,79.52
1978,Jul,81.39
1979,Jul,83.48
1980,Jul,80.9
1981,Jul,79.68
1982,Jul,77.55
1983,Jul,73.55
1984,Jul,82
1985,Jul,86.94
1986,Jul,75.71
1987,Jul,75.19
1988,Jul,82.45
1989,Jul,76.81
1990,Jul,85.26
1991,Jul,82.19
1992,Jul,82.16
1993,Jul,73.58
1994,Jul,85.58
1995,Jul,81.55
1996,Jul,85.65
1997,Jul,82.23
1998,Jul,83.45
1999,Jul,78.68
2000,Jul,79.35
2001,Jul,81
2002,Jul,84.55
2003,Jul,87.26
2004,Jul,85.97
2005,Jul,84
2006,Jul,84.97
2007,Jul,83.13
2008,Jul,83.84
2009,Jul,86.1
2010,Jul,82.95
2011,Jul,78.35
2012,Jul,80.54
2013,Jul,87.24
2014,Jul,87.55
2015,Jul,88.23
2016,Jul,81.9
2017,Jul,84.7
2018,Jul,87.39
2019,Jul,82.48
2020,Jul,84.81
2021,Jul,88.87
2022,Jul,87.1
2023,Jul,88.55
2024,Jul,90.71
2025,Jul,87.58
1948,Aug,76.94
1949,Aug,79.52
1950,Aug,85.55
1951,Aug,82.55
1952,Aug,80.52
1953,Aug,77.77
1954,Aug,73.52
1955,Aug,79.61
1956,Aug,78.74
1957,Aug,77.68
1958,Aug,86.48
1959,Aug,79.97
1960,Aug,77.42
1961,Aug,83.61
1962,Aug,78.74
1963,Aug,79.74
1964,Aug,78.81
1965,Aug,79.13
1966,Aug,82.68
1967,Aug,88.58
1968,Aug,76.35
1969,Aug,78.87
1970,Aug,83.26
1971,Aug,81.77
1972,Aug,84.1
1973,Aug,78.71
1974,Aug,82.29
1975,Aug,77.16
1976,Aug,77.68
1977,Aug,84.29
1978,Aug,79.55
1979,Aug,78.26
1980,Aug,79.45
1981,Aug,84.23
1982,Aug,80.77
1983,Aug,78.71
1984,Aug,80.55
1985,Aug,80.26
1986,Aug,85.42
1987,Aug,83.48
1988,Aug,82.35
1989,Aug,78.94
1990,Aug,81.94
1991,Aug,81.39
1992,Aug,84.74
1993,Aug,79.68
1994,Aug,81.06
1995,Aug,79.94
1996,Aug,83.19
1997,Aug,83.58
1998,Aug,85.03
1999,Aug,79.1
2000,Aug,80.42
2001,Aug,82.55
2002,Aug,83.52
2003,Aug,83.39
2004,Aug,84.77
2005,Aug,86.58
2006,Aug,82.9
2007,Aug,81.13
2008,Aug,81.97
2009,Aug,82.36
2010,Aug,82.28
2011,Aug,83.24
2012,Aug,85.19
2013,Aug,83.55
2014,Aug,87.81
2015,Aug,85.81
2016,Aug,87.52
2017,Aug,86.84
2018,Aug,85.23
2019,Aug,85.03
2020,Aug,86.19
2021,Aug,86.45
2022,Aug,88.26
2023,Aug,87.9
2024,Aug,84.74
2025,Aug,87.48
1948,Sep,75.03
1949,Sep,76
1950,Sep,77.07
1951,Sep,78.83
1952,Sep,80.17
1953,Sep,76.23
1954,Sep,71.57
1955,Sep,73.6
1956,Sep,75.6
1957,Sep,79.6
1958,Sep,75.2
1959,Sep,69.63
1960,Sep,76.13
1961,Sep,72.07
1962,Sep,75.67
1963,Sep,78.4
1964,Sep,75.27
1965,Sep,74.27
1966,Sep,77.17
1967,Sep,80.37
1968,Sep,72.93
1969,Sep,72.73
1970,Sep,72.93
1971,Sep,71.87
1972,Sep,71.37
1973,Sep,74.57
1974,Sep,84.77
1975,Sep,82.23
1976,Sep,77.37
1977,Sep,70.47
1978,Sep,69.37
1979,Sep,76.1
1980,Sep,77.23
1981,Sep,76.73
1982,Sep,73.83
1983,Sep,72.57
1984,Sep,74.83
1985,Sep,70.17
1986,Sep,69.33
1987,Sep,76.57
1988,Sep,78.37
1989,Sep,80.2
1990,Sep,77.97
1991,Sep,81.53
1992,Sep,75.83
1993,Sep,79.03
1994,Sep,78.73
1995,Sep,76.8
1996,Sep,72.67
1997,Sep,74.3
1998,Sep,80.03
1999,Sep,79.8
2000,Sep,75.37
2001,Sep,79.28
2002,Sep,77.43
2003,Sep,79.13
2004,Sep,72
2005,Sep,76.27
2006,Sep,79.23
2007,Sep,74.57
2008,Sep,78.33
2009,Sep,77.6
2010,Sep,74.76
2011,Sep,81.47
2012,Sep,80.17
2013,Sep,73.63
2014,Sep,80.93
2015,Sep,77
2016,Sep,76.83
2017,Sep,78.03
2018,Sep,77.13
2019,Sep,72.83
2020,Sep,78.13
2021,Sep,79.07
2022,Sep,80.13
2023,Sep,77.53
2024,Sep,79.1
2025,Sep,78.83
1948,Oct,61.84
1949,Oct,59.55
1950,Oct,59.84
1951,Oct,61.61
1952,Oct,69.97
1953,Oct,65.23
1954,Oct,62.13
1955,Oct,61.48
1956,Oct,60.48
1957,Oct,61.65
1958,Oct,66.06
1959,Oct,64.32
1960,Oct,64.58
1961,Oct,63.1
1962,Oct,60.9
1963,Oct,64.32
1964,Oct,67.71
1965,Oct,64.81
1966,Oct,63.32
1967,Oct,62.52
1968,Oct,61.16
1969,Oct,59.16
1970,Oct,63.39
1971,Oct,58.97
1972,Oct,62
1973,Oct,63.23
1974,Oct,69.03
1975,Oct,61.87
1976,Oct,67.29
1977,Oct,62.97
1978,Oct,66.35
1979,Oct,66.61
1980,Oct,67.23
1981,Oct,61.52
1982,Oct,63
1983,Oct,62.32
1984,Oct,58.97
1985,Oct,62.23
1986,Oct,64.71
1987,Oct,71.35
1988,Oct,67.42
1989,Oct,64.48
1990,Oct,61.74
1991,Oct,67.55
1992,Oct,65.32
1993,Oct,67.9
1994,Oct,64.48
1995,Oct,61.77
1996,Oct,61.42
1997,Oct,58.71
1998,Oct,62.16
1999,Oct,66.32
2000,Oct,63.52
2001,Oct,63.88
2002,Oct,64.58
2003,Oct,66.35
2004,Oct,63.48
2005,Oct,63.81
2006,Oct,64.97
2007,Oct,60.1
2008,Oct,62.97
2009,Oct,62.2
2010,Oct,63.32
2011,Oct,63.35
2012,Oct,65.87
2013,Oct,61.71
2014,Oct,70.13
2015,Oct,70.48
2016,Oct,62.71
2017,Oct,63.42
2018,Oct,68.32
2019,Oct,61.39
2020,Oct,66.29
2021,Oct,62.55
2022,Oct,72.26
2023,Oct,65.58
2024,Oct,67.68
2025,Oct,64.1
1948,Nov,49.8
1949,Nov,57.57
1950,Nov,53.87
1951,Nov,53.4
