,HAPPY,YEAR,AGE,WORKLIFE,MEDITATE,PERHRH,TWITTER,INSTAGRM,SATJOB1,NUMPETS,DOG,CAT,HLPNEEDY,VISZOO,VISTHOLY
285,2,1972,43,,,,,,,,,,,,
286,3,1972,38,,,,,,,,,,,,
287,2,1972,44,,,,,,,,,,,,
288,2,1972,75,,,,,,,,,,,,
289,1,1972,43,,,,,,,,,,,,
290,2,1972,43,,,,,,,,,,,,
291,1,1972,27,,,,,,,,,,,,
292,1,1972,58,,,,,,,,,,,,
293,1,1972,45,,,,,,,,,,,,
294,1,1972,31,,,,,,,,,,,,
295,1,1972,23,,,,,,,,,,,,
296,1,1972,69,,,,,,,,,,,,
297,2,1972,35,,,,,,,,,,,,
298,2,1972,43,,,,,,,,,,,,
299,3,1972,56,,,,,,,,,,,,
300,3,1972,36,,,,,,,,,,,,
301,1,1972,47,,,,,,,,,,,,
302,2,1972,29,,,,,,,,,,,,
303,2,1972,60,,,,,,,,,,,,
304,1,1972,37,,,,,,,,,,,,
305,1,1972,20,,,,,,,,,,,,
306,2,1972,55,,,,,,,,,,,,
307,2,1972,71,,,,,,,,,,,,
308,2,1972,30,,,,,,,,,,,,
309,2,1972,59,,,,,,,,,,,,
310,1,1972,42,,,,,,,,,,,,
311,1,1972,55,,,,,,,,,,,,
312,3,1972,24,,,,,,,,,,,,
313,3,1972,30,,,,,,,,,,,,
314,1,1972,70,,,,,,,,,,,,
315,2,1972,43,,,,,,,,,,,,
316,3,1972,45,,,,,,,,,,,,
317,2,1972,25,,,,,,,,,,,,
318,3,1972,37,,,,,,,,,,,,
319,2,1972,22,,,,,,,,,,,,
320,3,1972,27,,,,,,,,,,,,
321,2,1972,28,,,,,,,,,,,,
322,1,1972,42,,,,,,,,,,,,
323,2,1972,42,,,,,,,,,,,,
324,2,1972,30,,,,,,,,,,,,
325,2,1972,40,,,,,,,,,,,,
326,1,1972,37,,,,,,,,,,,,
327,2,1972,24,,,,,,,,,,,,
328,1,1972,46,,,,,,,,,,,,
329,2,1972,53,,,,,,,,,,,,
